universe_id,universe_training_year,universe_training_size,universe_scale,universe_model,universe_exclude_features,universe_exclude_subgroups,q_hat,coverage,avg_size,cov_frau1,cov_nongerman,cov_nongerman_male,cov_nongerman_female
13bc4adc10548bd1f66c6a339ee7ff98,2012_14,25k,scale,gbm,nationality,keep-all,0.6602593110233073,0.9117824099877384,1.1158287816296957,0.9135463000404368,0.9083815191152528,0.9249752319193012,0.8809239940387481
e754cfc9b719c38bf21e8112387871ee,2012_14,25k,scale,logreg,sex,keep-all,0.664388814767638,0.9118158510756884,1.1253037565488797,0.9111200970481196,0.9102340986919666,0.9258758893992616,0.8843517138599106
47d75506b72236ce4fe04272e47da429,2012_14,25k,do-not-scale,rf,age,keep-all,0.6599999999999999,0.915282577193178,1.1428380336640285,0.9140045828278744,0.913883119070342,0.9300189138070792,0.8871833084947839
ac80359935a7a6fe9c20a5f668a8513d,2012_14,25k,do-not-scale,elasticnet,age,drop-non-german,0.6537995238594252,0.9136996990302084,1.2618994537955637,0.9129262703868446,0.9649694043675968,0.9712690263892642,0.9545454545454546
3b3cb857acb72fbf2dbd34d4dc7edf14,2014,25k,do-not-scale,gbm,sex,keep-all,0.6806247334008906,0.9108237654665032,1.1102887080593022,0.9126836500876128,0.9104025150171224,0.9251553634152933,0.8859910581222057
226a506f4560c0375082c005cb7fdde2,2012_14,25k,do-not-scale,elasticnet,sex,drop-non-german,0.6575297365397299,0.9139114925872256,1.2491361052279568,0.9127645235206902,0.9609274125638578,0.9681167252094028,0.94903129657228
157bef778c578c293295aa0c1753ebf5,2014,25k,scale,logreg,nationality,drop-non-german,0.675677469621847,0.9126964663917068,1.1257830788094974,0.911713168890686,0.9123673721439398,0.9277672701071782,0.8868852459016393
a9efa8853fc82364bf88212eafaae09b,2014,25k,do-not-scale,rf,sex,keep-all,0.6599999999999999,0.9140229628803924,1.138724779846171,0.9132497641191536,0.9119744007185764,0.9263262181392417,0.8882265275707899
c7b83a2fd99d0d32f17d0cb6a3640383,2012_14,25k,scale,gbm,none,drop-non-german,0.6573635948335679,0.911470293166871,1.1156838702485787,0.9127106078986388,0.9078762701397856,0.924705034675313,0.8800298062593145
c70da768bffcfbe1b789bd6073e34669,2014,25k,do-not-scale,elasticnet,none,keep-all,0.6608829191902951,0.9133875822093412,1.2607958978932114,0.9121175360560724,0.9627238533655196,0.9702783031613078,0.9502235469448584
844f777a995f888e41af0c4d9eece0fa,2014,25k,scale,penalized_logreg,nationality-sex,drop-non-german,0.6758408722107714,0.9125069668933228,1.1255712852524802,0.9126297344655614,0.9115814292932128,0.9263262181392417,0.8871833084947839
032a9317430ddfa14102638718032072,2010_14,25k,scale,logreg,age,keep-all,0.6661350067020951,0.9098428268866348,1.1273213688552002,0.9078851597250304,0.9081569640150452,0.9249752319193012,0.8803278688524591
ad53704efca9b1255a297948e5df36d1,2014,25k,scale,logreg,none,drop-non-german,0.6756774808425591,0.9126964663917068,1.1257830788094974,0.911713168890686,0.9123673721439398,0.9277672701071782,0.8868852459016393
c58184faf0c60f9885c5bf5457bc83cb,2014,25k,do-not-scale,logreg,age,keep-all,0.652861770335564,0.9132984059748076,1.2538512986289154,0.9136002156624882,0.964015045191714,0.9692875799333514,0.955290611028316
930299e415470d94c36360ed1eb0551d,2012_14,25k,do-not-scale,elasticnet,nationality,drop-non-german,0.6575257506411727,0.9139003455579088,1.2491026641400067,0.9127375657096644,0.960871273788806,0.9681167252094028,0.9488822652757078
7d3dea0d9c22d9cddf0154c8bd9be6dd,2012_14,25k,do-not-scale,logreg,nationality,drop-non-german,0.6643006505604478,0.9114479991082376,1.217812952848066,0.9097722064968324,0.9385280413181384,0.9501936413581916,0.919225037257824
a250431251d3f637fbe356971de21a29,2014,25k,scale,elasticnet,sex,keep-all,0.6760183187437917,0.9125069668933228,1.1256493144576971,0.9126297344655614,0.9129287598944592,0.9274970728631902,0.888822652757079
c0bcf10f417b274f04cc681c6171ea79,2012_14,25k,scale,elasticnet,nationality-sex,drop-non-german,0.6622720104571771,0.9110244119942036,1.1243451120276446,0.9099878689850384,0.9095604333913434,0.9253354949112852,0.8834575260804769
63b395d36988ddc9d58cb9339d278f6e,2012_14,25k,do-not-scale,elasticnet,none,keep-all,0.6668134431430535,0.9136774049715752,1.2456247909932003,0.9125219032214584,0.9591309717621962,0.9664955417454744,0.9469448584202682
85de1045f7e178ec2a7da33c4c80336a,2014,25k,scale,rf,age,keep-all,0.6699999999999999,0.914892431167094,1.1441087950061308,0.9144359078042864,0.9127042047942514,0.9265063496352336,0.889865871833085
5a6029aaf510f4593bc0d2e67594f376,2012_14,25k,scale,elasticnet,sex,keep-all,0.6648621936084509,0.9118715862222716,1.1255489911938468,0.9113357595363256,0.9103463762420704,0.9258758893992616,0.8846497764530551
c6ab88773ff696aa776b72a17c7bfd0b,2012_14,25k,do-not-scale,gbm,sex,drop-non-german,0.6575064118304692,0.9115483223720878,1.1159736930108126,0.9128184391427416,0.9079324089148376,0.924705034675313,0.8801788375558868
d9b1aab13a90fa48ecd4cbc5aa821279,2012_14,25k,scale,rf,nationality-sex,drop-non-german,0.65,0.9129751421246238,1.136551109129417,0.912252325111201,0.9057429966878122,0.92227325947942,0.8783904619970194
1aaeb94dab3d36560cfded2fa788bf91,2012_14,25k,scale,logreg,nationality,drop-non-german,0.6620884472366853,0.9112362055512206,1.1249470516107458,0.9083164847014422,0.9096165721663954,0.9265063496352336,0.8816691505216095
f9fd3bf6fade56fac28c3a082572cc9f,2010_14,25k,scale,logreg,none,keep-all,0.6601358943229978,0.9105227956749526,1.1258388139560809,0.9092330502763176,0.913041037444563,0.9291182563271188,0.8864381520119226
3dd2256d057eda67093cfea4cae4e717,2014,25k,do-not-scale,elasticnet,sex,drop-non-german,0.6541662002922151,0.9136885520008916,1.264485564597035,0.9124949454104326,0.9635097962162466,0.9712690263892642,0.9506706408345752
d60345fea970abeba2c32e4356b35326,2010_14,25k,scale,logreg,nationality,drop-non-german,0.659467698378766,0.9101326496488684,1.1249804926986957,0.9079929909691332,0.9102340986919666,0.927136809871206,0.8822652757078987
20e57837f720fe4eb6e114356cb0fe91,2012_14,25k,do-not-scale,logreg,sex,keep-all,0.6907417675387129,0.9120722327499722,1.2,0.9113627173473514,0.9293212822096222,0.9425380527785284,0.907451564828614
95954d28a76cfd12e5170726bcf83cc1,2014,25k,do-not-scale,penalized_logreg,sex,keep-all,0.6847515656689096,0.911826998105005,1.1988407089510646,0.9101496158511928,0.9285353393588952,0.9426281185265244,0.9052160953800298
1519c63a72034f0dc5931ae4fef34917,2014,25k,scale,penalized_logreg,nationality-sex,keep-all,0.6761931970456281,0.912540407981273,1.125682755545647,0.9126566922765872,0.912311233368888,0.92704674412321,0.8879284649776453
342001437d6205b36e08cec505cdad3e,2014,25k,do-not-scale,logreg,sex,keep-all,0.678739435026627,0.9124623787760562,1.2030319919741388,0.9108235611268364,0.9303879189356088,0.9437989732504728,0.9081967213114754
ed9ac182deb9ca3db44564e3c4b4d7d5,2014,25k,do-not-scale,logreg,sex,drop-non-german,0.6672440696578583,0.9130977594471074,1.2240552892654109,0.912252325111201,0.9407174535451636,0.95136449608214,0.9230998509687034
9952fe5eb17ee7c878143b246a327f2f,2014,25k,scale,logreg,nationality-sex,drop-non-german,0.6756882726936839,0.9126072901571732,1.1255266971352134,0.9126566922765872,0.912198955818784,0.926956678375214,0.887779433681073
a2f5523e3ed2d38970f3d0f03cb70615,2012_14,25k,do-not-scale,penalized_logreg,nationality-sex,drop-non-german,0.664192897750976,0.911648645635938,1.213142347564374,0.911200970481197,0.9367316005164767,0.9477618661622984,0.9184798807749628
57d8788a482108a422286a5a2df21abc,2012_14,25k,scale,rf,nationality,drop-non-german,0.65,0.913042024300524,1.1368409318916508,0.9120905782450464,0.9078201313647336,0.9239845086913446,0.8810730253353204
170244a627acf92dd2aa5db16aa9fd48,2012_14,25k,do-not-scale,penalized_logreg,nationality-sex,keep-all,0.6801160268817696,0.9116263515773046,1.1983390926318136,0.9107426876937592,0.9274125638578566,0.9413671980545798,0.9043219076005962
17e20773a071e994f84edaa7c75d4d41,2014,25k,do-not-scale,penalized_logreg,sex,drop-non-german,0.6687036644351972,0.9128302307435068,1.220800356704938,0.9118210001347892,0.938977151518554,0.9502837071061876,0.92026825633383
88d06f7bd8946ef4831588b640e4b63e,2014,25k,scale,logreg,none,keep-all,0.6757075416421396,0.9124512317467396,1.1253594916954632,0.9111740126701712,0.9128726211194071,0.9279474016031704,0.8879284649776453
5d83e97d94109b78c6fd03439ea0fb0c,2012_14,25k,do-not-scale,gbm,age,drop-non-german,0.6778659500485036,0.9112807936684874,1.1217478541968566,0.9117670845127376,0.9061921068882276,0.9231739169593804,0.8780923994038748
c608c3d0b2178cfb837fbb7735f55a91,2014,25k,do-not-scale,logreg,nationality-sex,drop-non-german,0.6671452708317711,0.9127410545089734,1.224300523910378,0.9116322954576088,0.9400999270195924,0.951544627578132,0.9211624441132638
555b8a20cedd6a1c7ba8e4809b67955f,2012_14,25k,scale,elasticnet,none,keep-all,0.6640700215429949,0.9116597926652548,1.1250585219039126,0.9097991643078582,0.910739347667434,0.92704674412321,0.8837555886736215
93bd0f17fb064abb964e1eaaba59343b,2012_14,25k,do-not-scale,logreg,nationality-sex,drop-non-german,0.6642221179313587,0.9123063203656224,1.21645301527143,0.9118210001347892,0.9384719025430864,0.9497433126182112,0.9198211624441132
0fcde13c038893e8d88014cec98cfa3a,2014,25k,scale,rf,sex,keep-all,0.6599999999999999,0.9139003455579088,1.13812284026307,0.913195848497102,0.9115814292932128,0.9256056921552732,0.8883755588673622
148c87e04e6078e0a1ae23c736858883,2012_14,25k,do-not-scale,penalized_logreg,none,drop-non-german,0.6603350038864799,0.912038791662022,1.218916508750418,0.9113627173473514,0.9399315106944368,0.9508241015941638,0.9219076005961252
23a6c48d8f096653095ed7da1083d0eb,2014,25k,scale,rf,nationality-sex,keep-all,0.6699999999999999,0.9162412217144132,1.1485230186155388,0.9161881655209596,0.913883119070342,0.9265063496352336,0.8929955290611028
a313035bad4bf57df82057370d1dad77,2014,25k,do-not-scale,gbm,age,drop-non-german,0.6976614646074211,0.9102441199420356,1.115104224724111,0.9091252190322144,0.9057429966878122,0.9229937854633884,0.8771982116244411
83f2147e7ba3ffae36fef867021f1355,2014,25k,scale,penalized_logreg,sex,drop-non-german,0.6758409326809971,0.9125069668933228,1.1255712852524802,0.9126297344655614,0.9115814292932128,0.9263262181392417,0.8871833084947839
8432a49eab1742c52cf36a4517a73819,2014,25k,do-not-scale,gbm,nationality-sex,drop-non-german,0.6869055058103046,0.9108014714078698,1.112005350574072,0.9116862110796604,0.9117498456183686,0.9261460866432496,0.8879284649776453
86635513dfa50a83659cc8d46fcf1675,2012_14,25k,do-not-scale,logreg,age,drop-non-german,0.6487226087484721,0.9128859658900904,1.2522684204659458,0.912980186008896,0.9628361309156234,0.9682968567053948,0.9538002980625933
b0d0a0ad52cebb12b6042dc2396b6f87,2012_14,25k,do-not-scale,gbm,nationality-sex,keep-all,0.6601781415683268,0.9118047040463716,1.1159402519228625,0.913519342229411,0.9084376578903048,0.9250652976672972,0.8809239940387481
bec957a75423dd2e6be82c5c68c6b0d4,2014,25k,do-not-scale,gbm,none,keep-all,0.6806247334008906,0.9108349124958198,1.1102106788540853,0.9127375657096644,0.9104586537921744,0.9251553634152933,0.886140089418778
9927d20121db3fb33e1f972ecf36c0d2,2014,25k,scale,penalized_logreg,sex,keep-all,0.676415117068834,0.9126741723330732,1.1260394604837811,0.9127106078986388,0.9129287598944592,0.9276772043591822,0.8885245901639345
8680e2df76dd58f987b35f31abe30f7c,2014,25k,scale,logreg,age,drop-non-german,0.6802230587051555,0.912362055512206,1.1260171664251477,0.9111470548591456,0.9082131027900971,0.9249752319193012,0.8804769001490313
83aad6861c8382ef57c243336ba06236,2012_14,25k,do-not-scale,gbm,age,keep-all,0.67543722358496,0.9116374986066214,1.122227176457474,0.9110122658040168,0.9068096334137988,0.9242547059353328,0.8779433681073026
32f86c5a0c523893b21b99f8da4df8bb,2014,25k,do-not-scale,penalized_logreg,none,drop-non-german,0.6668220838581789,0.9127299074796568,1.2226396165421916,0.9114435907804286,0.9416718127210464,0.9526254165540844,0.9235469448584204
674ce84a3e0057a40b025fcd3052b8ba,2014,25k,do-not-scale,logreg,age,drop-non-german,0.6468475962834543,0.913142347564374,1.249871809162858,0.9135463000404368,0.9610396901139616,0.9674862649734306,0.9503725782414308
884b64730a617c018f56589b55a16a43,2014,25k,do-not-scale,logreg,nationality,drop-non-german,0.6690282766532964,0.9127744955969236,1.2248913164641624,0.9112279282922228,0.9417279514960984,0.9529856795460686,0.9230998509687034
